Day;Hour;Price (Kč/MWh)
13.01.2024;15;2 381,12
13.01.2024;16;2 838,78
13.01.2024;17;2 770,64
13.01.2024;18;2 617,60
13.01.2024;19;2 342,85
13.01.2024;20;2 280,40
13.01.2024;21;1 945,43
13.01.2024;22;1 814,10
13.01.2024;23;1 691,66
13.01.2024;24;1 657,10
14.01.2024;1;1 647,97
14.01.2024;2;1 607,49
14.01.2024;3;1 598,11
14.01.2024;4;1 610,45
14.01.2024;5;1 621,81
14.01.2024;6;1 642,54
14.01.2024;7;1 672,16
14.01.2024;8;1 781,02
14.01.2024;9;1 897,29
14.01.2024;10;2 018,00
14.01.2024;11;2 022,94
14.01.2024;12;2 053,05
14.01.2024;13;2 004,42
14.01.2024;14;1 901,73
14.01.2024;15;1 953,82
14.01.2024;16;2 032,07
14.01.2024;17;2 138,22
14.01.2024;18;2 267,56
14.01.2024;19;2 403,83
14.01.2024;20;2 206,10
14.01.2024;21;2 016,27
14.01.2024;22;1 940,74
14.01.2024;23;1 857,05
14.01.2024;24;1 655,87
15.01.2024;1;1 725,35
15.01.2024;2;1 640,34
15.01.2024;3;1 591,89
15.01.2024;4;1 533,32
15.01.2024;5;1 541,23
15.01.2024;6;1 719,92
15.01.2024;7;2 151,69
15.01.2024;8;2 520,93
15.01.2024;9;2 456,42
15.01.2024;10;2 477,68
15.01.2024;11;2 343,72
15.01.2024;12;2 231,02
15.01.2024;13;2 080,76
15.01.2024;14;2 061,73
15.01.2024;15;2 147,73
15.01.2024;16;2 309,62
15.01.2024;17;2 471,50
15.01.2024;18;2 610,40
15.01.2024;19;2 782,66
15.01.2024;20;2 737,19
15.01.2024;21;2 555,28
15.01.2024;22;2 306,40
15.01.2024;23;2 247,58
15.01.2024;24;2 162,07
16.01.2024;1;2 036,35
16.01.2024;2;2 013,62
16.01.2024;3;1 979,52
16.01.2024;4;1 934,30
16.01.2024;5;1 911,32
16.01.2024;6;2 037,83
16.01.2024;7;2 488,05
16.01.2024;8;2 956,55
16.01.2024;9;3 560,96
16.01.2024;10;3 424,81
16.01.2024;11;3 014,62
16.01.2024;12;2 718,10
16.01.2024;13;2 551,06
16.01.2024;14;2 527,59
16.01.2024;15;2 647,92
16.01.2024;16;2 975,33
16.01.2024;17;3 062,81
16.01.2024;18;3 341,53
