Date,Daily_Average_Price,Hourly_Price
2022-05-26,2736.06,
2022-05-27,4311.45,
2022-05-28,2563.92,
2022-05-29,3861.47,
2022-05-30,5584.28,
2022-05-31,5195.01,
2022-06-01,5397.19,
2022-06-02,4795.45,
2022-06-03,4597.82,
2022-06-04,4263.92,
2022-06-05,3569.95,
2022-06-06,4008.05,
2022-06-07,5047.44,
2022-06-08,4852.74,
2022-06-09,4793.33,
2022-06-10,4617.05,
2022-06-11,3411.13,
2022-06-12,2832.45,
2022-06-13,4297.2,
2022-06-14,4879.16,
2022-06-15,5266.32,
2022-06-16,5115.65,
2022-06-17,6294.08,
2022-06-18,4668.98,
2022-06-19,3817.5,
2022-06-20,6809.82,
2022-06-21,7055.24,
2022-06-22,8010.69,
2022-06-23,7403.26,
2022-06-24,6705.32,
2022-06-25,6122.5,
2022-06-26,5390.85,
2022-06-27,7978.58,
2022-06-28,8446.18,
2022-06-29,7954.13,
2022-06-30,8280.41,
2022-07-01,8149.88,
2022-07-02,5615.36,
2022-07-03,5070.25,
2022-07-04,7631.37,
2022-07-05,8102.96,
2022-07-06,7420.74,
2022-07-07,5279.43,
2022-07-08,6599.53,
2022-07-09,2860.43,
2022-07-10,2264.54,
2022-07-11,9108.51,
2022-07-12,9248.87,
2022-07-13,8325.21,
2022-07-14,9326.32,
2022-07-15,8311.74,
2022-07-16,3875.62,
2022-07-17,5003.7,
2022-07-18,9560.08,
2022-07-19,9601.35,
2022-07-20,7736.76,
2022-07-21,9950.28,
2022-07-22,9745.88,
2022-07-23,8425.35,
2022-07-24,7004.59,
2022-07-25,8872.33,
2022-07-26,9437.69,
2022-07-27,10426.15,
2022-07-28,11907.89,
2022-07-29,11155.32,
2022-07-30,9696.93,
2022-07-31,7796.97,
2022-08-01,10525.16,
2022-08-02,10259.04,
2022-08-03,9904.31,
2022-08-04,10204.49,
2022-08-05,9458.1,
2022-08-06,7383.08,
2022-08-07,5304.74,
2022-08-08,9075.69,
2022-08-09,8655.94,
2022-08-10,8289.62,
2022-08-11,9237.33,
2022-08-12,10992.58,
2022-08-13,9615.99,
2022-08-14,8524.16,
2022-08-15,10449.4,
2022-08-16,11117.12,
2022-08-17,13585.23,
2022-08-18,13885.35,
2022-08-19,12728.28,
2022-08-20,11453.28,
2022-08-21,9537.71,
2022-08-22,13895.31,
2022-08-23,15102.53,
2022-08-24,15534.66,
2022-08-25,15173.56,
2022-08-26,17324.76,
2022-08-27,15376.59,
2022-08-28,11412.7,
2022-08-29,16448.87,
2022-08-30,16887.68,
2022-08-31,15575.07,
2022-09-01,14626.46,
2022-09-02,11020.22,
2022-09-03,7346.06,
2022-09-04,6561.09,
2022-09-05,9759.36,
2022-09-06,11524.3,
2022-09-07,11682.24,
2022-09-08,11268.61,
2022-09-09,8904.2,
2022-09-10,9921.96,
2022-09-11,9608.78,
2022-09-12,10403.39,
2022-09-13,10505.4,
2022-09-14,11210.31,
2022-09-15,9326.73,
2022-09-16,6440.0,
2022-09-17,3815.31,
2022-09-18,2405.33,
2022-09-19,6582.34,
2022-09-20,8973.0,
2022-09-21,9399.78,
2022-09-22,9731.02,
2022-09-23,9122.9,
2022-09-24,8608.06,
2022-09-25,6831.25,
2022-09-26,7376.98,
2022-09-27,7833.9,
2022-09-28,9545.23,
2022-09-29,10376.63,
2022-09-30,8696.65,
2022-10-01,3430.22,
2022-10-02,3085.2,
2022-10-03,5582.8,
2022-10-04,6108.63,
2022-10-05,4293.59,
2022-10-06,4072.32,
2022-10-07,4287.64,
2022-10-08,3966.65,
2022-10-09,3729.8,
2022-10-10,4369.08,
2022-10-11,6391.35,
2022-10-12,6969.88,
2022-10-13,6267.09,
2022-10-14,6323.03,
2022-10-15,3973.13,
2022-10-16,2477.99,
2022-10-17,4104.35,
2022-10-18,4713.81,
2022-10-19,4186.78,
2022-10-20,4055.44,
2022-10-21,4335.83,
2022-10-22,3580.17,
2022-10-23,2495.78,
2022-10-24,3235.47,
2022-10-25,3223.48,
2022-10-26,3319.33,
2022-10-27,3454.64,
2022-10-28,2902.79,
2022-10-29,2497.91,
2022-10-30,2864.83,
2022-10-31,3561.01,
2022-11-01,2845.45,
2022-11-02,2976.76,
2022-11-03,3229.32,
2022-11-04,4408.32,
2022-11-05,3277.62,
2022-11-06,2109.41,
2022-11-07,2746.82,
2022-11-08,3533.82,
2022-11-09,4472.52,
2022-11-10,5320.94,
2022-11-11,4243.86,
2022-11-12,4202.14,
2022-11-13,3835.44,
2022-11-14,4391.08,
2022-11-15,5061.87,
2022-11-16,4310.64,
2022-11-17,3346.48,
2022-11-18,4847.24,
2022-11-19,4981.03,
2022-11-20,5090.32,
2022-11-21,6131.22,
2022-11-22,5177.76,
2022-11-23,5002.57,
2022-11-24,6023.24,
2022-11-25,6485.64,
2022-11-26,5831.61,
2022-11-27,4067.17,
2022-11-28,7221.43,
2022-11-29,9046.96,
2022-11-30,9586.1,
2022-12-01,9609.13,
2022-12-02,8669.57,
2022-12-03,7102.0,
2022-12-04,6629.13,
2022-12-05,7940.93,
2022-12-06,8976.53,
2022-12-07,8175.09,
2022-12-08,9396.88,
2022-12-09,9736.26,
2022-12-10,8461.76,
2022-12-11,7310.3,
2022-12-12,9056.65,
2022-12-13,10730.56,
2022-12-14,10767.88,
2022-12-15,9655.82,
2022-12-16,9974.58,
2022-12-17,6401.64,
2022-12-18,4548.14,
2022-12-19,4934.66,
2022-12-20,4915.3,
2022-12-21,5254.92,
2022-12-22,4797.35,
2022-12-23,4494.3,
2022-12-24,2722.34,
2022-12-25,2458.9,
2022-12-26,1023.21,
2022-12-27,2230.53,
2022-12-28,1544.19,
2022-12-29,813.39,
2022-12-30,607.37,
2022-12-31,-49.34,
2023-01-01,395.01,
2023-01-02,3006.63,
2023-01-03,3537.43,
2023-01-04,2851.4,
2023-01-05,3373.85,
2023-01-06,2920.95,
2023-01-07,2563.64,
2023-01-08,2140.98,
2023-01-09,3233.76,
2023-01-10,3241.21,
2023-01-11,2760.34,
2023-01-12,2858.27,
2023-01-13,2912.48,
2023-01-14,2409.61,
2023-01-15,2224.82,
2023-01-16,3124.03,
2023-01-17,3264.52,
2023-01-18,3372.08,
2023-01-19,3518.68,
2023-01-20,4176.48,
2023-01-21,3245.54,
2023-01-22,3488.37,
2023-01-23,4848.0,
2023-01-24,4849.31,
2023-01-25,4340.2,
2023-01-26,4015.51,
2023-01-27,4020.54,
2023-01-28,3474.78,
2023-01-29,3088.89,
2023-01-30,3282.84,
2023-01-31,3432.33,
2023-02-01,3517.56,
2023-02-02,3417.36,
2023-02-03,3056.18,
2023-02-04,3414.92,
2023-02-05,3049.94,
2023-02-06,4117.57,
2023-02-07,4171.68,
2023-02-08,3764.29,
2023-02-09,3277.21,
2023-02-10,3357.55,
2023-02-11,3311.33,
2023-02-12,3297.64,
2023-02-13,3880.74,
2023-02-14,3713.75,
2023-02-15,3622.52,
2023-02-16,3529.23,
2023-02-17,3331.28,
2023-02-18,2654.94,
2023-02-19,2701.02,
2023-02-20,2515.2,
2023-02-21,2839.66,
2023-02-22,3535.94,
2023-02-23,3494.87,
2023-02-24,3186.5,
2023-02-25,2016.03,
2023-02-26,2573.1,
2023-02-27,3580.65,
2023-02-28,3483.38,
2023-03-01,3465.67,
2023-03-02,3541.43,
2023-03-03,3303.01,
2023-03-04,2638.71,
2023-03-05,2877.5,
2023-03-06,3556.83,
2023-03-07,2781.93,
2023-03-08,3278.19,
2023-03-09,3044.32,
2023-03-10,2749.21,
2023-03-11,2276.91,
2023-03-12,2318.92,
2023-03-13,2374.16,
2023-03-14,2095.33,
2023-03-15,3045.18,
2023-03-16,2606.57,
2023-03-17,2252.6,
2023-03-18,2618.33,
2023-03-19,2679.31,
2023-03-20,3011.37,
2023-03-21,2825.94,
2023-03-22,2487.2,
2023-03-23,2672.88,
2023-03-24,2063.25,
2023-03-25,765.09,
2023-03-26,1597.41,
2023-03-27,2256.01,
2023-03-28,2546.04,
2023-03-29,2762.56,
2023-03-30,2484.13,
2023-03-31,2329.41,
2023-04-01,1305.28,
2023-04-02,1589.04,
2023-04-03,2594.13,
2023-04-04,3030.43,
2023-04-05,3295.83,
2023-04-06,2905.58,
2023-04-07,2683.55,
2023-04-08,2751.21,
2023-04-09,2459.16,
2023-04-10,1900.68,
2023-04-11,2333.73,
2023-04-12,2598.07,
2023-04-13,2891.81,
2023-04-14,2975.08,
2023-04-15,2490.71,
2023-04-16,2569.41,
2023-04-17,2780.78,
2023-04-18,2723.37,
2023-04-19,2642.66,
2023-04-20,2617.04,
2023-04-21,2500.36,
2023-04-22,2017.66,
2023-04-23,2015.65,
2023-04-24,2469.33,
2023-04-25,2427.54,
2023-04-26,2614.18,
2023-04-27,2630.6,
2023-04-28,2503.25,
2023-04-29,2365.91,
2023-04-30,1619.01,
2023-05-01,1951.19,
2023-05-02,2510.87,
2023-05-03,2500.95,
2023-05-04,2394.95,
2023-05-05,2254.81,
2023-05-06,2095.78,
2023-05-07,1629.5,
2023-05-08,2274.85,
2023-05-09,2264.93,
2023-05-10,2537.85,
2023-05-11,2702.4,
2023-05-12,2485.12,
2023-05-13,1860.05,
2023-05-14,1687.8,
2023-05-15,2712.08,
2023-05-16,2241.39,
2023-05-17,2174.36,
2023-05-18,2084.17,
2023-05-19,2088.35,
2023-05-20,1114.65,
2023-05-21,700.68,
2023-05-22,2307.17,
2023-05-23,2165.47,
2023-05-24,2408.4,
2023-05-25,2104.16,
2023-05-26,1717.9,
2023-05-27,1466.09,
2023-05-28,824.74,
2023-05-29,977.84,
2023-05-30,2087.56,
2023-05-31,2024.89,
2023-06-01,1767.89,
2023-06-02,1898.89,
2023-06-03,1335.94,
2023-06-04,1196.18,
2023-06-05,2125.09,
2023-06-06,2254.83,
2023-06-07,2358.82,
2023-06-08,1991.44,
2023-06-09,2049.77,
2023-06-10,1344.69,
2023-06-11,1010.29,
2023-06-12,2304.82,
2023-06-13,2219.22,
2023-06-14,2508.45,
2023-06-15,2832.07,
2023-06-16,3036.4,
2023-06-17,2489.91,
2023-06-18,2210.89,
2023-06-19,2790.19,
2023-06-20,2882.88,
2023-06-21,2939.84,
2023-06-22,2989.99,
2023-06-23,2633.35,
2023-06-24,1926.57,
2023-06-25,1774.97,
2023-06-26,2552.73,
2023-06-27,2455.59,
2023-06-28,2661.3,
2023-06-29,2800.32,
2023-06-30,2658.13,
2023-07-01,1683.58,
2023-07-02,811.76,
2023-07-03,2270.69,
2023-07-04,2523.69,
2023-07-05,2282.22,
2023-07-06,2544.58,
2023-07-07,2450.74,
2023-07-08,1973.42,
2023-07-09,2138.98,
2023-07-10,2799.66,
2023-07-11,2679.9,
2023-07-12,2993.0,
2023-07-13,2586.49,
2023-07-14,2293.85,
2023-07-15,781.64,
2023-07-16,593.86,
2023-07-17,2455.15,
2023-07-18,2570.0,
2023-07-19,2479.64,
2023-07-20,2335.83,
2023-07-21,2543.17,
2023-07-22,1759.04,
2023-07-23,670.83,
2023-07-24,2297.83,
2023-07-25,2510.84,
2023-07-26,2362.11,
2023-07-27,2293.36,
2023-07-28,2297.38,
2023-07-29,1863.43,
2023-07-30,873.38,
2023-07-31,1752.84,
2023-08-01,2001.17,
2023-08-02,1622.83,
2023-08-03,1109.03,
2023-08-04,2371.01,
2023-08-05,2182.74,
2023-08-06,1253.64,
2023-08-07,661.18,
2023-08-08,409.45,
2023-08-09,2164.59,
2023-08-10,2250.62,
2023-08-11,2126.53,
2023-08-12,1588.37,
2023-08-13,1426.13,
2023-08-14,2285.18,
