index,Interval_Start,Interval_End,Consumption_kW,Consumption_kWh,Hour,Time,Date,Adjusted_Consumption_kWh,Day,Price (Kč/MWh),Price_kWh,Month,DayOfWeek,Fixed_Cost (Kč),Cost_Difference (Kč),Savings,Elasticity,Season,Price_for_consumed_kWh
86,2024-01-01 21:30:00,2024-01-01 21:45:00,251,251,22,21:30:00,2024-01-01,62.75,2024-01-01,1045.13,1.04513,1,0,502.0,0,-490.67237,125.17654653494118,Summer,65.58190750000001
87,2024-01-01 21:45:00,2024-01-01 22:00:00,255,255,22,21:45:00,2024-01-01,63.75,2024-01-01,1045.13,1.04513,1,0,510.0,0,-498.49185,125.53472840398278,Summer,66.62703750000001
88,2024-01-01 22:00:00,2024-01-01 22:15:00,247,247,23,22:00:00,2024-01-01,61.75,2024-01-01,1145.26,1.14526,1,0,494.0,0,-458.12078,40.620215827573794,Summer,70.719805
89,2024-01-01 22:15:00,2024-01-01 22:30:00,251,251,23,22:15:00,2024-01-01,62.75,2024-01-01,1145.26,1.14526,1,0,502.0,0,-465.53974,40.73865867113784,Summer,71.865065
90,2024-01-01 22:30:00,2024-01-01 22:45:00,244,244,23,22:30:00,2024-01-01,61.0,2024-01-01,1145.26,1.14526,1,0,488.0,0,-452.55656,40.530118065440114,Summer,69.86086
91,2024-01-01 22:45:00,2024-01-01 23:00:00,251,251,23,22:45:00,2024-01-01,62.75,2024-01-01,1145.26,1.14526,1,0,502.0,0,-465.53974,40.73865867113784,Summer,71.865065
92,2024-01-01 23:00:00,2024-01-01 23:15:00,253,253,24,23:00:00,2024-01-01,63.25,2024-01-01,878.97,0.87897,1,0,506.0,0,-536.62059,-42.89299204570545,Summer,55.5948525
93,2024-01-01 23:15:00,2024-01-01 23:30:00,246,246,24,23:15:00,2024-01-01,61.5,2024-01-01,878.97,0.87897,1,0,492.0,0,-521.7733800000001,-42.6754961422428,Summer,54.056655
94,2024-01-01 23:30:00,2024-01-01 23:45:00,251,251,24,23:30:00,2024-01-01,62.75,2024-01-01,878.97,0.87897,1,0,502.0,0,-532.3785300000001,-42.831470557045776,Summer,55.1553675
95,2024-01-01 23:45:00,2024-01-02 00:00:00,249,249,24,23:45:00,2024-01-01,62.25,2024-01-01,878.97,0.87897,1,0,498.0,0,-528.13647,-42.76945689124776,Summer,54.7158825
